date,shop_id,product,units
2026-03-02,001,coffee,37
2026-03-02,001,tea,15
2026-03-02,001,cake,9
2026-03-02,002,coffee,44
2026-03-02,002,tea,20
2026-03-02,002,cake,16
2026-03-02,003,coffee,22
2026-03-02,003,tea,20
2026-03-02,003,cake,5
2026-03-02,005,coffee,14
2026-03-02,005,tea,6
2026-03-02,005,cake,3
2026-03-03,001,coffee,35
2026-03-03,001,tea,20
2026-03-03,001,cake,18
2026-03-03,002,coffee,59
2026-03-03,002,tea,26
2026-03-03,002,cake,16
2026-03-03,003,coffee,33
2026-03-03,003,tea,15
2026-03-03,003,cake,10
2026-03-03,005,coffee,29
2026-03-03,005,tea,14
2026-03-03,005,cake,10
2026-03-04,001,coffee,31
2026-03-04,001,tea,18
2026-03-04,001,cake,6
2026-03-04,002,coffee,53
2026-03-04,002,tea,missing
2026-03-04,002,cake,23
2026-03-04,003,coffee,31
2026-03-04,003,tea,15
2026-03-04,003,cake,19
2026-03-04,005,coffee,17
2026-03-04,005,tea,12
2026-03-04,005,cake,8
2026-03-05,001,coffee,45
2026-03-05,001,tea,17
2026-03-05,001,cake,17
2026-03-05,002,coffee,48
2026-03-05,002,tea,23
2026-03-05,002,cake,14
2026-03-05,003,coffee,32
2026-03-05,003,tea,11
2026-03-05,003,cake,9
2026-03-05,005,coffee,19
2026-03-05,005,tea,9
2026-03-05,005,cake,7
2026-03-06,001,coffee,35
2026-03-06,001,tea,28
2026-03-06,001,cake,16
2026-03-06,002,coffee,41
2026-03-06,002,tea,29
2026-03-06,002,cake,11
2026-03-06,003,coffee,missing
2026-03-06,003,tea,13
2026-03-06,003,cake,8
2026-03-06,005,coffee,20
2026-03-06,005,tea,14
2026-03-06,005,cake,12
2026-03-07,001,coffee,52
2026-03-07,001,tea,26
2026-03-07,001,cake,12
2026-03-07,002,coffee,56
2026-03-07,002,tea,26
2026-03-07,002,cake,22
2026-03-07,003,coffee,35
2026-03-07,003,tea,18
2026-03-07,003,cake,13
2026-03-07,005,coffee,32
2026-03-07,005,tea,18
2026-03-07,005,cake,6
2026-03-08,001,coffee,58
2026-03-08,001,tea,28
2026-03-08,001,cake,14
2026-03-08,002,coffee,78
2026-03-08,002,tea,30
2026-03-08,002,cake,22
2026-03-08,003,coffee,42
2026-03-08,003,tea,26
2026-03-08,003,cake,13
2026-03-08,005,coffee,37
2026-03-08,005,tea,20
2026-03-08,005,cake,12
2026-03-09,001,coffee,36
2026-03-09,001,tea,17
2026-03-09,001,cake,7
2026-03-09,002,coffee,49
2026-03-09,002,tea,28
2026-03-09,002,cake,10
2026-03-09,003,coffee,39
2026-03-09,003,tea,19
2026-03-09,003,cake,10
2026-03-09,005,coffee,18
2026-03-09,005,tea,6
2026-03-09,005,cake,8
2026-03-10,001,coffee,39
2026-03-10,001,tea,22
2026-03-10,001,cake,11
2026-03-10,002,coffee,55
2026-03-10,002,tea,24
2026-03-10,002,cake,14
2026-03-10,003,coffee,35
2026-03-10,003,tea,missing
2026-03-10,003,cake,6
2026-03-10,005,coffee,17
2026-03-10,005,tea,7
2026-03-10,005,cake,8
2026-03-11,001,coffee,42
