date,depot_id,service,parcels,late_parcels,driver_hours
2026-04-06,D01,standard,114,10,10.61
2026-04-06,D01,express,84,10,7.99
2026-04-06,D02,standard,126,7,11.90
2026-04-06,D02,express,96,0,9.28
2026-04-06,D03,standard,114,10,11.01
2026-04-06,D03,express,84,10,7.89
2026-04-06,D04,standard,126,9,11.80
2026-04-06,D04,express,78,0,7.54
2026-04-07,D01,standard,122,12,11.64
2026-04-07,D01,express,91,11,8.92
2026-04-07,D02,standard,115,11,10.70
2026-04-07,D02,express,85,0,8.08
2026-04-07,D03,standard,122,14,11.54
2026-04-07,D03,express,73,15,7.19
2026-04-07,D04,standard,115,12,11.10
2026-04-07,D04,express,85,0,7.98
2026-04-08,D01,standard,129,8,12.08
2026-04-08,D01,express,81,6,7.81
2026-04-08,D02,standard,123,13,11.73
2026-04-08,D02,express,not_recorded,6,9.83
2026-04-08,D03,standard,111,9,10.34
2026-04-08,D03,express,81,11,7.71
2026-04-08,D04,standard,123,15,11.63
2026-04-08,D04,express,74,0,7.28
2026-04-09,D01,standard,118,12,11.38
2026-04-09,D01,express,89,11,8.34
2026-04-09,D02,standard,130,9,12.17
2026-04-09,D02,express,82,0,7.90
2026-04-09,D03,standard,119,13,11.37
2026-04-09,D03,express,88,11,8.65
2026-04-09,D04,standard,112,11,10.43
2026-04-09,D04,express,81,0,7.71
2026-04-10,D01,standard,125,8,11.81
2026-04-10,D01,express,95,10,9.19
2026-04-10,D02,standard,119,13,11.47
2026-04-10,D02,express,89,0,8.34
2026-04-10,D03,standard,125,9,11.71
2026-04-10,D03,express,78,16,7.54
2026-04-10,D04,standard,119,13,11.37
2026-04-10,D04,express,89,0,8.74
2026-04-11,D01,standard,116,10,10.80
2026-04-11,D01,express,85,10,8.08
2026-04-11,D02,standard,126,9,11.90
2026-04-11,D02,express,80,0,7.82
2026-04-11,D03,standard,116,12,11.20
2026-04-11,D03,express,84,10,7.89
2026-04-11,D04,standard,110,10,10.35
2026-04-11,D04,express,79,0,7.63
2026-04-12,D01,standard,122,14,11.64
2026-04-12,D01,express,92,11,9.01
2026-04-12,D02,standard,117,11,10.89
2026-04-12,D02,express,86,0,8.17
2026-04-12,D03,standard,122,15,11.54
